,imgname,id,name,rarity,cardmarket.prices.averageSellPrice,art.style,edges,corners,surface,centering,recent.sale.price,sold.at
0,2022-05-09 16.23.11.jpg,swsh7-79,Ribombee,Uncommon,0.04,no,8,9.5,8,8,0.04,Ebay
1,2022-05-09 16.23.18.jpg,swsh7-45,Avalugg,Uncommon,0.04,no,8.5,8,8,9.5,0.04,Ebay
3,2022-05-09 16.23.34.jpg,swsh7-88,Gigalith,Rare,0.07,reverse.holo,8.5,9,8,8.5,0.07,Ebay
5,2022-05-09 16.23.50.jpg,swsh7-154,Rescue Carrier,Uncommon,0.14,no,9,9.5,8.5,9,0.14,Ebay
6,2022-05-09 16.23.58.jpg,swsh7-144,Crystal Cave,Uncommon,0.07,no,9,8.5,8.5,8.5,0.07,Ebay
8,2022-05-09 16.24.13.jpg,swsh7-165,Treasure Energy,Uncommon,0.05,no,9,8.5,8,9,0.05,Ebay
9,2022-05-09 16.24.20.jpg,swsh7-139,Fletchinder,Uncommon,0.04,no,8.5,8,8,9,0.04,Ebay
10,2022-05-09 16.24.28.jpg,swsh7-67,Sableye,Common,0.03,no,9.5,8,8.5,9,0.03,Ebay
11,2022-05-09 16.24.36.jpg,swsh7-104,Nickit,Common,0.03,no,9,8.5,8.5,8.5,0.03,Ebay
12,2022-05-09 16.24.44.jpg,swsh7-44,Bergmite,Common,0.04,no,9.5,9,8.5,8.5,0.04,Ebay
13,2022-05-09 16.24.51.jpg,swsh7-57,Emolga,Common,0.03,no,8.5,8,8.5,8.5,0.03,Ebay
14,2022-05-09 16.24.59.jpg,swsh7-107,Bagon,Common,0.04,no,9,8,9.5,9.5,0.04,Ebay
15,2022-05-09 16.25.07.jpg,swsh7-76,Pumpkaboo,Common,0.04,no,9,8,8.5,9,0.04,Ebay
16,2022-05-09 16.25.13.jpg,swsh7-26,Tentacool,Common,0.04,no,8.5,9,8.5,9,0.04,Ebay
17,2022-05-09 16.25.20.jpg,swsh7-133,Lillipup,Common,0.04,no,8.5,8.5,8.5,9,0.04,Ebay
18,2022-05-09 16.25.27.jpg,swsh7-53,Lanturn,Uncommon,0.04,no,9.5,9.5,9.5,8.5,0.04,Ebay
19,2022-05-09 16.25.35.jpg,swsh7-17,Applin,Common,0.04,no,8,8,9,9,0.04,Ebay
20,2022-05-09 16.25.42.jpg,swsh7-78,Cutiefly,Common,0.03,no,9,8,9,8,0.03,Ebay
21,2022-05-09 16.25.49.jpg,swsh7-12,Crustle,Uncommon,0.04,no,8.5,8.5,8.5,8.5,0.04,Ebay
22,2022-05-09 16.25.57.jpg,swsh7-37,Feebas,Common,0.03,no,9,9,9,8.5,0.03,Ebay
23,2022-05-09 16.26.04.jpg,swsh7-15,Gossifleur,Common,0.03,no,8,8,9,8,0.03,Ebay
24,2022-05-09 16.26.11.jpg,swsh7-68,Woobat,Common,0.03,no,9.5,9,8,9,0.03,Ebay
25,2022-05-09 16.26.19.jpg,swsh7-57,Emolga,Common,0.03,no,8,8.5,8.5,9,0.03,Ebay
26,2022-05-09 16.26.26.jpg,swsh7-32,Lotad,Common,0.04,no,9,9,8.5,9.5,0.04,Ebay
27,2022-05-09 16.26.32.jpg,swsh7-161,Stormy Mountains,Uncommon,0.07,no,8.5,8,9,9.5,0.07,Ebay
28,2022-05-09 16.26.39.jpg,swsh7-146,Dream Ball,Uncommon,0.05,no,9,9,8.5,9.5,0.05,Ebay
29,2022-05-09 16.26.46.jpg,swsh7-23,Pyroar,Uncommon,0.04,no,9,9.5,9.5,8.5,0.04,Ebay
31,2022-05-09 16.27.01.jpg,swsh7-49,Pikachu,Common,0.08,no,8.5,9,9.5,9,0.08,Ebay
32,2022-05-09 16.27.08.jpg,swsh7-5,Seedot,Common,0.03,no,8.5,8.5,8,9,0.03,Ebay
33,2022-05-10 13.57.45.jpg,swsh5-105,Honedge,Common,0.04,no,8.5,9,9.5,8,0.04,Ebay
34,2022-05-10 13.57.52.jpg,swsh5-59,Chimecho,Common,0.04,no,9.5,9,8,8.5,0.04,Ebay
35,2022-05-10 13.57.59.jpg,swsh5-49,Pachirisu,Common,0.04,no,9,8.5,9,9.5,0.04,Ebay
36,2022-05-10 13.58.08.jpg,swsh5-7,Cherubi,Common,0.04,no,9,8.5,8.5,8,0.04,Ebay
37,2022-05-10 13.58.16.jpg,swsh5-100,Mawile,Common,0.04,no,9,8,9.5,8.5,0.04,Ebay
38,2022-05-10 13.58.25.jpg,swsh5-74,Gurdurr,Uncommon,0.05,reverse.holo,9,9.5,8.5,8,0.05,Ebay
39,2022-05-10 13.58.32.jpg,swsh5-108,Aegislash,Rare,0.12,no,8,8,8.5,8.5,0.12,Ebay
41,2022-05-10 13.58.47.jpg,swsh5-140,Rapid Strike Energy,Uncommon,0.13,no,8.5,8,8,8.5,0.13,Ebay
42,2022-05-10 13.58.55.jpg,swsh5-123,Cheryl,Uncommon,0.08,no,9,8.5,9.5,9,0.08,Ebay
43,2022-05-10 13.59.02.jpg,swsh5-106,Doublade,Uncommon,0.04,no,8.5,9.5,8.5,9,0.04,Ebay
44,2022-05-10 13.59.13.jpg,swsh4-45,Voltorb,Common,0.04,no,8.5,8.5,9,9,0.04,Ebay
45,2022-05-10 13.59.22.jpg,swsh4-94,Rockruff,Common,0.04,no,9,8.5,9,9,0.04,Ebay
46,2022-05-10 13.59.28.jpg,swsh4-133,Taillow,Common,0.04,no,9,8.5,8.5,9.5,0.04,Ebay
47,2022-05-10 13.59.36.jpg,swsh4-87,Donphan,Rare,0.17,no,9.5,9.5,8.5,9,0.17,Ebay
49,2022-05-10 13.59.49.jpg,swsh4-148,Beauty,Uncommon,0.05,no,9.5,8,9.5,8.5,0.05,Ebay
50,2022-05-10 13.59.56.jpg,swsh4-85,Shuckle,Uncommon,0.04,no,8.5,9.5,9,8.5,0.04,Ebay
51,2022-05-10 14.00.03.jpg,swsh4-11,Nuzleaf,Uncommon,0.04,no,9,8,8.5,9,0.04,Ebay
53,2022-05-10 14.00.19.jpg,swsh8-233,Elesa's Sparkle,Uncommon,0.12,no,9,8,8.5,8.5,0.12,Ebay
54,2022-05-10 14.00.32.jpg,swsh8-81,Drednaw,Uncommon,0.06,no,8.5,9.5,9,9,0.06,Ebay
55,2022-05-10 14.00.39.jpg,swsh8-196,Sliggoo,Uncommon,0.05,no,9.5,9,9,8.5,0.05,Ebay
56,2022-05-10 14.00.47.jpg,swsh8-5,Breloom,Uncommon,0.05,no,8,8.5,8.5,8.5,0.05,Ebay
57,2022-05-10 14.00.54.jpg,swsh8-230,Cross Switcher,Uncommon,0.13,no,9.5,8.5,9.5,8.5,0.13,Ebay
58,2022-05-10 14.01.01.jpg,swsh8-152,Clobbopus,Common,0.04,no,9.5,9,9,8,0.04,Ebay
59,2022-05-10 14.01.10.jpg,swsh8-95,Tynamo,Common,0.04,no,8.5,9.5,8.5,8.5,0.04,Ebay
60,2022-05-10 14.01.18.jpg,swsh8-84,Snom,Common,0.04,reverse.holo,9,9,8.5,9,0.04,Ebay
61,2022-05-10 14.01.25.jpg,swsh8-149,Pancham,Common,0.04,no,9,8,8.5,9,0.04,Ebay
62,2022-05-10 14.01.33.jpg,swsh8-14,Accelgor,Rare,0.1,reverse.holo,9,9,8.5,8.5,0.1,Ebay
63,2022-05-10 14.01.41.jpg,swsh8-179,Morpeko,Common,0.05,no,9,9.5,8.5,9,0.05,Ebay
64,2022-05-10 14.01.48.jpg,swsh8-209,Smeargle,Common,0.04,no,9,9,9.5,8.5,0.04,Ebay
65,2022-05-10 14.01.56.jpg,swsh8-60,Qwilfish,Common,0.04,no,8.5,8,9,9,0.04,Ebay
66,2022-05-10 14.02.02.jpg,swsh8-34,Slugma,Common,0.06,reverse.holo,8,9.5,8.5,8,0.06,Ebay
67,2022-05-10 14.02.13.jpg,swsh8-118,Galarian Cursola,Rare,0.13,no,8.5,9,8.5,8.5,0.13,Ebay
68,2022-05-10 14.02.21.jpg,swsh8-74,Clauncher,Common,0.04,no,8.5,9.5,9.5,9.5,0.04,Ebay
